Configuration,Category,n,TP,FP,FN,TN,Recall,Precision,F1,FPR
b1_b2,benign_controls,15,0,0,0,15,nan,nan,nan,0.0000
b1_b2,context_poisoning,20,0,0,20,0,0.0000,nan,nan,nan
b1_b2,instruction_override,15,0,0,15,0,0.0000,nan,nan,nan
b1_b2,mixed_attacks,10,0,0,10,0,0.0000,nan,nan,nan
b1_b2,multi_message,10,0,0,10,0,0.0000,nan,nan,nan
b1_b2,prompt_injection,15,0,0,15,0,0.0000,nan,nan,nan
b1_b2,retrieval_poisoning,10,0,0,10,0,0.0000,nan,nan,nan
b1_b2,role_manipulation,15,0,0,15,0,0.0000,nan,nan,nan
b1_b2,tool_manipulation,10,0,0,10,0,0.0000,nan,nan,nan
b1_only,benign_controls,15,0,0,0,15,nan,nan,nan,0.0000
b1_only,context_poisoning,20,0,0,20,0,0.0000,nan,nan,nan
b1_only,instruction_override,15,0,0,15,0,0.0000,nan,nan,nan
b1_only,mixed_attacks,10,0,0,10,0,0.0000,nan,nan,nan
b1_only,multi_message,10,0,0,10,0,0.0000,nan,nan,nan
b1_only,prompt_injection,15,0,0,15,0,0.0000,nan,nan,nan
b1_only,retrieval_poisoning,10,0,0,10,0,0.0000,nan,nan,nan
b1_only,role_manipulation,15,0,0,15,0,0.0000,nan,nan,nan
b1_only,tool_manipulation,10,0,0,10,0,0.0000,nan,nan,nan
full,benign_controls,15,0,0,0,15,nan,nan,nan,0.0000
full,context_poisoning,20,14,0,6,0,0.7000,1.0000,0.8235,nan
full,instruction_override,15,4,0,11,0,0.2667,1.0000,0.4211,nan
full,mixed_attacks,10,3,0,7,0,0.3000,1.0000,0.4615,nan
full,multi_message,10,3,0,7,0,0.3000,1.0000,0.4615,nan
full,prompt_injection,15,4,0,11,0,0.2667,1.0000,0.4211,nan
full,retrieval_poisoning,10,3,0,7,0,0.3000,1.0000,0.4615,nan
full,role_manipulation,15,4,0,11,0,0.2667,1.0000,0.4211,nan
full,tool_manipulation,10,7,0,3,0,0.7000,1.0000,0.8235,nan
