attack_detected,attacker_pct,b3_available,comm_range_m,context,decision,density,family,frequency_hz,m_A,m_notA,m_theta,msg_index,n_contract_violations,scenario_id,seed,sem_m_notA,semantic_confidence,total_ms,trust_score,truth_attacker,vehicle_count
False,0.05,True,300,rural,CAUTION,sparse,replay,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,23,0,s101_replay_25v_5pct_sparse_rural_507,608,0.0,0.9,24.19319699947664,0.8772999999999999,False,25
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,0,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,23.449154999980237,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.146,0.146,0.708,1,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,22.935494000194012,0.9184599999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,2,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,23.92282700020587,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,3,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,28.62809199905314,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,4,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,23.282983998797135,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,5,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,22.791426999901887,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,6,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,21.533753999392502,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,7,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,31.48821099966881,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,8,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,26.027780999356764,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,9,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,22.379052999895066,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,10,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,25.011833999087685,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,11,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,24.267231001431355,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,12,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,24.575313000241295,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,13,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,24.030003000007127,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,14,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,27.976887999102473,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,15,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,28.408967998984735,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,16,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,30.55472599953646,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,17,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,23.97860800010676,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,18,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,27.17958399989584,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,19,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,30.128123000395135,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,20,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,21.638370000800933,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,21,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,18.686384000830003,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,22,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,23.473904000638868,0.8772999999999999,False,100
False,0.01,True,300,highway,CAUTION,moderate,benign,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,23,0,s101_benign_100v_1pct_moderate_highway_905,1006,0.0,0.9,26.13090500017279,0.8772999999999999,False,100
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.23000000000000004,0.23000000000000004,0.5399999999999999,0,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,21.299828000337584,0.8772999999999999,True,500
False,0.4,True,300,highway,CAUTION,moderate,fabrication,10.0,0.146,0.146,0.708,1,0,s101_fabrication_500v_40pct_moderate_highway_1571,1672,0.0,0.9,20.35975699982373,0.9184599999999999,False,500
